Username,Tweet,Date,Time,Mentions,Hashtags,Likes,Retweets,Comments,Replies,Views
"stellenmarkt-direkt
@StellenmarktD
·
31s","Oberarzt Psychosomatik / Psychotherapie m/w/d in Badenweiler, gesucht:
https://zurl.co/jZgig
#Badenweiler #jobs #stellenangebote #Jobsuche #Jobbörse #Oberarzt #Psychosomatik #Psychotherapie #Arzt",2025-03-27,13:00:07,,"#Badenweiler, #jobs, #stellenangebote, #Jobsuche, #Jobbörse, #Oberarzt, #Psychosomatik, #Psychotherapie, #Arzt",,,,0,0
"Witzshared - The Blog
@witzshared
·
34s",Left off the Horn and Hardart automat — 6 #Jobs From the 1950s That Barely #Exist Today,2025-03-27,13:00:05,,"#Jobs, #Exist",,,,0,0
"IPPNY
@IPPNYORG
·
37s","Competitive generation creates nearly 19,000 jobs and $1.5B in taxes for NY each year—reducing costs and risk for consumers. Read more: http://nyaffordablecleanpower.org #NYEnergy #Jobs",2025-03-27,13:00:02,,"#NYEnergy, #Jobs",,,,0,2
"JobNinja
@JobNinjaEU
·
9m",Evangelisches Krankenhaus Mülheim an der Ruhr GmbH sucht einen/eine MTL – Medizinischer Technologe für Laboratoriumsanalytik (m/w/d) - in #MülheimAnDerRuhr #jobs,2025-03-27,12:51:41,,"#MülheimAnDerRuhr, #jobs",,,,0,0
"Emploi Dakar
@emploidakar
·
12m","Offre d'emploi : Ingénieur Systèmes

Vous pouvez postuler ici : https://emploidakar.com/offre-demploi/ingenieur-systemes/…

#emploi #recrutement #jobs #careers #Dakar #Senegal",2025-03-27,12:48:35,,"#emploi, #recrutement, #jobs, #careers, #Dakar, #Senegal",,,,0,51
"online
@stellenmarktnet
·
13m","Servicekraft Frühstücksbereich (m/w/d) in Heiligenhafen bei Hotel Stadt Hamburg
#Jobs #Job240580032 #Service https://online-stellenmarkt.net/job-twitter/240580032/…",2025-03-27,12:47:38,,"#Jobs, #Job240580032, #Service",,,,0,0
"John Carson
@johncarson
·
14m","#Journalism #News and #Jobs: #Canada just hit the virtual streets with 8 news stories and 16 jobs/opportunities, so check it out https://linkedin.com/pulse/journalism-news-jobs-canada-john-carson-omnjc…",2025-03-27,12:46:18,,"#Journalism, #News, #Jobs, #Canada",,,,0,7
"JobNinja
@JobNinjaEU
·
19m",Lampe & Schwartze KG sucht einen/eine Mitarbeiter Administrationsteam Sach-/Haftpflichtversicherungen (m/w/d) - in #Bremen #jobs #JobsInBremen,2025-03-27,12:41:41,,"#Bremen, #jobs, #JobsInBremen",,,,0,0
"GiveMeApps
@GiveMeApps
·
21m",Improve your active listening skills and become a better conversationalist now with GLISN the active listening coach! #iPhone & #Android! https://play.google.com/store/apps/details?id=com.glisn.app&pli=1… #Career #Education #Network #Goals #Professional #ThursdayThoughts #College #SAT #Exam #Language #Jobs #Midterms #Uni,2025-03-27,12:38:51,,"#iPhone, #Android, #Career, #Education, #Network, #Goals, #Professional, #ThursdayThoughts, #College, #SAT, #Exam, #Language, #Jobs, #Midterms, #Uni",,,,0,4
"IT Jobs
@ITMilwaukee
·
22m","Software Engineer II – Backend, ITC WHO YOU WILL WORK WITH You will report to the Engineering Manager and collaborate with stakeholders, including... - https://itjobpro.com/job/software-engineer-ii-backend-itc/… #InformationTechnology #jobs #jobsearch #ITSupportJobs",2025-03-27,12:38:30,,"#InformationTechnology, #jobs, #jobsearch, #ITSupportJobs",,,,0,7
"HRTech Series
@HRTechSeries
·
1h",Infosys Powers LKQ Europe’s HR Transformation with a Unified Digital Platform https://ow.ly/G6yH50VpAMk #hr #recruitment #recruiting #jobs #jobsearch #career #Hiring #TalentAcquisition #HiringNow #JobAlerts #JobSeeker #infosys,2025-03-27,11:23:55,,"#hr, #recruitment, #recruiting, #jobs, #jobsearch, #career, #Hiring, #TalentAcquisition, #HiringNow, #JobAlerts, #JobSeeker, #infosys",1,1,,0,1
"HRTech Series
@HRTechSeries
·
1h",Nayya Report Reveals $3 Trillion Employer Benefits Spend Is Failing to Deliver Value for Employees https://ow.ly/qP4F50VpAJ1 #hr #recruitment #recruiting #jobs #jobsearch #career #Hiring #TalentAcquisition #HiringNow #JobAlerts #JobSeeker #nayya,2025-03-27,11:21:28,,"#hr, #recruitment, #recruiting, #jobs, #jobsearch, #career, #Hiring, #TalentAcquisition, #HiringNow, #JobAlerts, #JobSeeker, #nayya",,,,0,14
"TopOneHire
@TopOneHire
·
2h","Resume Tip of the Day presented by Top One Hire

Make sure to submit yours when you check out our jobs : https://toponehire.com/jobs/ 

#hiring #hiringnow #job #career #success #jobopening #careeropportunity #jobseeker #work #productivity #newjob #opentowork",2025-03-27,11:00:16,,"#hiring, #hiringnow, #job, #career, #success, #jobopening, #careeropportunity, #jobseeker, #work, #productivity, #newjob, #opentowork",,,,0,9
"PremiumHR Solution
@PremiumHRS
·
3h",#PremiumHR #jobalert #jobsearch #hiringnow #applynow #tuesday #jobseeker,2025-03-27,09:13:09,,"#PremiumHR, #jobalert, #jobsearch, #hiringnow, #applynow, #tuesday, #jobseeker",1,,,0,1
"Huuza X Rwanda
@HuuzaXRwanda
·
3h","Ready to take the next step? Let’s build your future together!

#HuuzaEmployment #CareerGrowth #JobOpportunities #RwandaJobs #EmploymentSolutions #JobSearch #CareerSuccess #FutureReady #WorkWithConfidence #DreamJob #UnlockOpportunities #HuuzaAgency #CareerGuidance #JobSeeker",2025-03-27,09:02:37,,"#HuuzaEmployment, #CareerGrowth, #JobOpportunities, #RwandaJobs, #EmploymentSolutions, #JobSearch, #CareerSuccess, #FutureReady, #WorkWithConfidence, #DreamJob, #UnlockOpportunities, #HuuzaAgency, #CareerGuidance, #JobSeeker",,,,0,7
"GotoGulf.com
@GotoGulf
·
5h","Electrical Supervisor - Offshore
Tyche HR Consultancy
Abu Dhabi - Offshore, United Arab Emirates
 https://GotoGulf.com/JobDescriptionscription.aspx?job_Id=571386…
#gotogulf #jobs #middleeast #jobseeker #recruitment",2025-03-27,07:49:40,,"#gotogulf, #jobs, #middleeast, #jobseeker, #recruitment",,,,0,12
"GotoGulf.com
@GotoGulf
·
5h","Senior (Lead) Draftsman
Client of SKC Management Consultancy (Pvt) Limited
Anywhere in Oman , Oman
 https://GotoGulf.com/JobDescriptionscription.aspx?job_Id=571508…
#gotogulf #jobs #middleeast #jobseeker #recruitment",2025-03-27,07:49:27,,"#gotogulf, #jobs, #middleeast, #jobseeker, #recruitment",,,,0,7
"Ron Jones
@Ron__Jon8s
·
8h","Bianca also has views about people on #JobSeeker 

Her brother every day “finger on trigger”. 

Bianca unable to do that of course, on account of her nails.
She can’t risk breaking them and then having to sue.

Sorry the R-word",2025-03-27,04:31:32,,#JobSeeker,2,,2,0,2
"Stansbury Consulting
@StansburyCFRE
·
17h","Are you ready to advance your #career and lead a local #nonprofit history museum? Check out this amazing opportunity at Thomasville History Center in Thomasville GA. Check it out! http://w.thomasvillehistory.org.  
@flamuseums
 #nonprofits #hiring #jobseeker #MakeAnImpact #CareerGrowth",2025-03-26,19:45:07,@flamuseums,"#career, #nonprofit, #nonprofits, #hiring, #jobseeker, #MakeAnImpact, #CareerGrowth",,,,0,19
"Job Finder 
@JobFinder9ja
·
5s","Locate 
@ChickenRepublic
 and drop your CV

#jobfinder9ja #jobs #recruitment #jobsearch #Trending #vacancy #hiring #Nigeria",2025-03-27,13:01:34,@ChickenRepublic,"#jobfinder9ja, #jobs, #recruitment, #jobsearch, #Trending, #vacancy, #hiring, #Nigeria",,,,0,0
"Job Finder 
@JobFinder9ja
·
40m","WE ARE #HIRING!!!
#Vacancy exists for the following roles at lwosan 
@LagoonHospitals
  for full-time employment.

Suitably qualified and interested candidates can apply by filling the form on the link below:

1. Inventory Officer
https://lnkd.in/dziRxvM5

#jobfinder9ja",2025-03-27,12:20:43,@LagoonHospitals,"#HIRING, #Vacancy, #jobfinder9ja",,,,0,6
"Fursa | Opportunities 
@fursa_kazi
·
42m",#Sales #Account Manager Job #Vacancy at SimbaNet Ltd Tanzania,2025-03-27,12:19:27,,"#Sales, #Account, #Vacancy",,,,0,13
"Job Finder 
@JobFinder9ja
·
43m","How to apply: Please submit your resume to careers@arkinsurancegroup.com using “IT Manager” as the email subject. Application ends on the 11th of April 2025.

#jobfinder9ja #recruitment #jobsearch #vacancy #jobopportunity #hiring #trending #Nigeria",2025-03-27,12:17:48,@arkinsurancegroup,"#jobfinder9ja, #recruitment, #jobsearch, #vacancy, #jobopportunity, #hiring, #trending, #Nigeria",,,,0,6
"Fursa | Opportunities 
@fursa_kazi
·
46m",Head of #Sales and #Marketing Job #Vacancy at SimbaNet Ltd Tanzania,2025-03-27,12:15:31,,"#Sales, #Marketing, #Vacancy",,,,0,14
"Pass me over
@NthabelengDlam3
·
1h",#new #internal #vacancy at #DeHeus #kimberley #southafrica. Closing Date 04/04/2025.,2025-03-27,11:17:09,,"#new, #internal, #vacancy, #DeHeus, #kimberley, #southafrica",2,,,0,2
"M3
@M3Capital
·
1h","VACANCY: Fruit Sales/Marketing Manager

Follow the link for more information on the role and how to apply: https://jobs.m3online.co.za/sys/jobDetails?objId=2263… 

#fruitsalesmanager #marketingmanager #marketing #sales #exports #fruitexports #applynow #vacancy #somersetwest #westerncape",2025-03-27,11:14:06,,"#fruitsalesmanager, #marketingmanager, #marketing, #sales, #exports, #fruitexports, #applynow, #vacancy, #somersetwest, #westerncape",,,,0,4
"Gujarat Square News
@gujaratsquare
·
9h","#VidhaySahayak
#Divyang_Special_Requtment
#Vacancy 
ધોરણ ૧ થી ૫ : ૩૭૧૫
ધોરણ ૬ થી ૮ : ૪૬૯
૦૧/૦૪/૨૦૨૫ થી ફોર્મ ભરવા નું શરૂ.
દિવ્યાંગજનો માટે ખાસ ભરતી ઝૂબેશ.
4000+ જગ્યાઓ સીધી ભરતીથી ભરાશે.",2025-03-27,04:00:58,,"#VidhaySahayak, #Divyang_Special_Requtment, #Vacancy",,,,0,2
"Spu Punjab Police
@Spupunjab77
·
20h","ایس پی یو میں بھرتی کے لیے فارم جمع کرانے کا آغاز ہو چکا ہے۔ بھرتی کے خواہشمند امیدوار پنجاب کے پانچ اضلاع—لاہور، فیصل آباد، ملتان، راولپنڈی اور فاروق آباد—میں اپنے فارم جمع کرا سکتے ہیں۔ فارم جمع کرانے کی آخری تاریخ 09 اپریل ہے۔
#opportunity #vacancy #JOBSEEK #Pakistan #zelena",2025-03-26,16:02:30,,"#opportunity, #vacancy, #JOBSEEK, #Pakistan, #zelena",,,,0,138
