Username,Tweet,Cleaned_Tweet,Date,Time,Mentions,Hashtags,Likes,Retweets,Comments,Replies,Views,Sentiment
"Dr. Yogita Sharma (PUBLIC FIGURE)
@livelyyogita
·
Mar 23","In this video i have told, Angel Number for dream job, job promotion, angel number for job promotion, job stability,job security.naukari pane ke upay
#TUTUKLANDI
#naukrikeupay 
#angelnumbers 
#youtuber 
#jyotishupay 
#naukri 

https://youtu.be/hoUPAKs07ms?si=rn2x6htLee2FbW6D…",video told angel number dream job job promotion angel number job promotion job stabilityjob securitynaukari pane upay tutuklandi naukrikeupay angelnumbers youtuber jyotishupay naukri,2025-03-23,14:36:23,,"naukri, jyotishupay, angelnumbers, youtuber, naukrikeupay, TUTUKLANDI",0,0,0,0,1,0.0
"Syed Jaheer
@mnmhussain2611
·
Mar 23","Paid spotlight on 
@Naukrigulf
 and 
@Naukri
 is a waste of money. No real benefits for job seekers! Don’t fall for it. #NaukriGulf #Naukri #JobSeeker #Freshers #Jobs #Students”",paid spotlight naukrigulf naukri waste money real benefits job seekers dont fall naukrigulf naukri jobseeker freshers jobs students,2025-03-23,05:36:01,"Naukri, Naukrigulf","NaukriGulf, Students, JobSeeker, Jobs, Naukri, Freshers",0,0,0,0,26,-0.1625
"Yes Punjab Punjabi
@YesPunjab_Pbi
·
Mar 23","ਮੁਸ਼ਕਲ ਬਹੁਤ ਹੈ ਨੌਕਰੀ ਮਸਾਂ ਮਿਲਦੀ, ਮਿਲਦੀ ਜਦੋਂ ਤਾਂ ਚੜ੍ਹੇ ਫਿਰ ਚਾਅ ਬੇਲੀ  https://yespunjab.com/punjabi/?p=19869…

#Naukri #JobStruggles #PunjabiLife #HardWorkPaysOff #CareerGrowth #Motivation #WorkHustle #SuccessMindset #NewBeginnings #PunjabiQuotes #Inspiration #AJJNAMA",naukri jobstruggles punjabilife hardworkpaysoff careergrowth motivation workhustle successmindset newbeginnings punjabiquotes inspiration ajjnama,2025-03-23,04:59:08,,"AJJNAMA, JobStruggles, WorkHustle, CareerGrowth, Motivation, HardWorkPaysOff, SuccessMindset, PunjabiLife, NewBeginnings, Naukri, PunjabiQuotes, Inspiration",0,0,0,0,44,0.0
"KabiiR Bhai
@MohdKabiiR
·
Mar 21",#NAUKRI lelo,naukri lelo,2025-03-21,17:57:13,,NAUKRI,0,0,0,0,1,0.0
"Prince Singh
@Princesingh004
·
Mar 21",Congrats on earning your Specialist in Sorting on Naukri Code 360!  Showcase your hard-earned skills and knowledge with your network by sharing this badge. Keep learning and level up your career! #SkillBadge #Naukri Code 360,congrats earning specialist sorting naukri code 360 showcase hardearned skills knowledge network sharing badge keep learning level career skillbadge naukri code 360,2025-03-21,16:53:37,,"Naukri, SkillBadge",0,0,0,0,56,0.0
"Kalpesh Jadhav-Patil
@Kalpesh27380406
·
Mar 21","इथेच विचार करण्यासाठी Signal हवे जेणेकरून हे धोक्याचे वळण सुरळीत पणे इंडिकेटर देऊन घेता येतील.

#UPSC_DELHI
#MPSC_PUNE
#PMKYY #CMKYF #MAHASWAYAM #NAUKRI
#COREWALA",signal upscdelhi mpscpune pmkyy cmkyf mahaswayam naukri corewala,2025-03-21,13:32:41,,"COREWALA, NAUKRI, CMKYF, MAHASWAYAM, UPSC_DELHI, MPSC_PUNE, PMKYY",0,0,0,0,1,0.0
"Pankaj Gaur  (भारत मेरा परिवार)
@GaurSahabisBack
·
Mar 21",#NaukriDo #Naukri #JobLess #Berojgaar #बेरोज़गार #युवा,naukrido naukri jobless berojgaar,2025-03-21,13:01:46,,"NaukriDo, ब, य, Naukri, JobLess, Berojgaar",0,0,0,0,1,0.0
"Dhirandra Sawan Public Figure
@DhirandraSawan
·
Mar 20","#Naukri Karney Jaa Rahey Videsh Mey Aaj ,Yahaan Beth Kar RaatDin Hindu Muslim kar Rahey kewal ,Aur Koi Kaam Dhaam Nahi Raha Inkey Paas Aaj ,murkhon ka Desh banta jaa Raha kewal",naukri karney jaa rahey videsh mey aaj yahaan beth kar raatdin hindu muslim kar rahey kewal aur koi kaam dhaam nahi raha inkey paas aaj murkhon desh banta jaa raha kewal,2025-03-20,17:53:51,,Naukri,0,0,0,0,19,0.0
"Purushotam Raj
@Purush61646164
·
Mar 20","TODAY'S TRADE RESULTS:-
520-685 HIT 2ND TARGET TODAY IN #BNF 49600CE

#NAUKRI 6800CE 170-190 HIT

#TATAELEXI 5500CE 90-80 SL

#NIFTY 23050PE 50 - 95 HIT ALMOST ALL TARGET 2X 

#NIFTY 23000CE 200 - 290 HIT 2ND TARGET

#NIFTY 23100CE 20 - 120 HIT ALL TRGT MONEY 6X DONE",todays trade results 520685 hit 2nd target today bnf 49600ce naukri 6800ce 170190 hit tataelexi 5500ce 9080 nifty 23050pe hit almost target nifty 23000ce 200 290 hit 2nd target nifty 23100ce 120 hit trgt money done,2025-03-20,17:49:35,,"BNF, TATAELEXI, NIFTY, NAUKRI",0,0,0,0,137,0.0
"India Fusion
@TheIndiaFusion
·
Mar 20","#Urgent : 

Looking for part time job , 
Anything is welcome 
Daily commitment: 

4-5 hrs. 

#Work 
#Naukri 
#JOBSEEK 
#Happiness",urgent looking part time job anything welcome daily commitment hrs work naukri jobseek happiness,2025-03-20,17:20:43,,"Happiness, Urgent, Work, Naukri, JOBSEEK",0,0,0,0,1,0.5
"Purushotam Raj
@Purush61646164
·
Mar 20",TODAY'S LIVE TRADING RESULTS RECORDED #NIFTY  #BANKNIFTY #NAUKRI #TATAELEXI & ALL PENDING TARGET ACHIEVED IN STOCKS  #TATAMOTORS #SWING #VBL #SWING  #ADANIGREEN #NCC #DLF,todays live trading results recorded nifty banknifty naukri tataelexi pending target achieved stocks tatamotors swing vbl swing adanigreen ncc dlf,2025-03-20,18:07:04,,"NCC, NAUKRI, VBL, NIFTY, ADANIGREEN, SWING, BANKNIFTY, TATAMOTORS, DLF, TATAELEXI",0,0,0,0,376,0.13636363636363635
"Purushotam Raj
@Purush61646164
·
Mar 20",TODAY'S TRADE PERFORMANCE OF CLIENTS #NIFTY #BANKNIFTY #TATAELEXI #NAUKRI #TRADING #WITH #10K,todays trade performance clients nifty banknifty tataelexi naukri trading 10k,2025-03-20,17:57:12,,"NAUKRI, WITH, NIFTY, TRADING, 10K, BANKNIFTY, TATAELEXI",0,0,0,0,120,0.0
"IND24
@IND24AMPL
·
Mar 19","शादी नहीं तो नौकरी नहीं !

#shadi #naukri #socialmedia #trendingreel #viralreel #ind24",shadi naukri socialmedia trendingreel viralreel ind24,2025-03-19,14:18:22,,"naukri, viralreel, ind24, socialmedia, shadi, trendingreel",0,0,0,0,1,0.0
"Har Din Job Mela
@Hardinjobmela
·
Mar 19","Comment “How” and we will send you the details

or Download our app now!
https://url.2coms.com/5v

#hdjm #hardinjobmela #jobs #career #jobseeker #naukri #gharbaithejob",comment send details download app hdjm hardinjobmela jobs career jobseeker naukri gharbaithejob,2025-03-19,08:00:00,,"naukri, hdjm, career, jobs, hardinjobmela, jobseeker, gharbaithejob",0,0,0,0,30,0.0
"Hum Dekhenge News
@humdekhengenews
·
Mar 19","કંડક્ટર કક્ષાની ૨૩૨૦ જગ્યા માટે નિમણૂક આપવા પાત્ર ઉમેદવારનું મેરીટ list /યાદી આજે રાત્રે નિગમની વેબસાઇટ પર અપલોડ થઈ જશે

 #Naukri #GujaratJobs #GovernmentJob #MeritList #humdekhengenews",list naukri gujaratjobs governmentjob meritlist humdekhengenews,2025-03-19,07:54:43,,"MeritList, humdekhengenews, GovernmentJob, GujaratJobs, Naukri",0,0,0,0,25,0.0
"Prasad Bhangire
@prasad_bhangire
·
Mar 19","Naukri is an 8-hour job…
But business is a 24/7 commitment.

#Dhanda #Naukri #Investing #GoodMorning",naukri 8hour job business 247 commitment dhanda naukri investing goodmorning,2025-03-19,06:55:01,,"Naukri, Investing, Dhanda, GoodMorning",0,0,0,0,44,0.0
"SHUBHRAJIT GHOSH
@SHUBHRAJIT40921
·
Mar 19",Congrats on earning your Master in Recursion on Naukri Code 360!  Showcase your hard-earned skills and knowledge with your network by sharing this badge. Keep learning and level up your career! #SkillBadge #Naukri Code 360,congrats earning master recursion naukri code 360 showcase hardearned skills knowledge network sharing badge keep learning level career skillbadge naukri code 360,2025-03-19,06:20:31,,"Naukri, SkillBadge",0,0,0,0,1,0.0
"xCalData ( AI powred independent rearch platform )
@xcaldata
·
Mar 19","#NAUKRI has seen a recent downtrend, with a -11.77% return in the past month. What does the future hold for this stock?

More details on app and blog: https://blog.xcaldata.com

#NSE #NIFTY #STOCKSOFINTEREST #AI",naukri seen recent downtrend 1177 return past month future hold stock details app blog nse nifty stocksofinterest,2025-03-19,04:00:32,,"NSE, NAUKRI, NIFTY, AI, STOCKSOFINTEREST",0,0,0,0,60,0.0625
"CA Paaras Gangwal
@ThetaVegaCap
·
Mar 19","Naukri ye 8 ghante ka Dhanda hai..

Aur Dhanda 24 ghante ki Naukri

#Dhanda #Naukri #Investing #GoodMorning",naukri ghante dhanda hai aur dhanda ghante naukri dhanda naukri investing goodmorning,2025-03-19,02:54:56,,"Naukri, Investing, Dhanda, GoodMorning",0,0,0,0,12,0.0
"HADC INDICATOR
@beingakash26_
·
Mar 18","#NAUKRI #INFOEDGE BLASSTED

BOUGHT AT 6562.60
NEW HIGH MADE 6701.30
LOT SIZE 1000

#HADC #INDICATOR

#nifty50 #banknifty #mcx #trading #OptionsTradinG",naukri infoedge blassted bought 656260 new high made 670130 lot size 1000 hadc indicator nifty50 banknifty mcx trading optionstrading,2025-03-18,13:50:00,,"nifty50, INFOEDGE, NAUKRI, trading, banknifty, INDICATOR, mcx, OptionsTradinG, HADC",0,0,0,0,332,0.1481818181818182
"Sam
@SSRNalluri
·
Mar 18",#naukri,naukri,2025-03-18,11:55:35,,naukri,0,0,0,0,29,0.0
"ScoutQuest
@scoutquest
·
Mar 17","#NAUKRI |  Investing Rs. 30 Crores in Aisle Network to boost shareholding to 92.83%. This move supports the working capital needs of their dating platforms like Aisle, Anbe, Arike, Neetho, and Jalebi.

Details: http://sqst.in/nZLSd

 AI powered update by",naukri investing crores aisle network boost shareholding 9283 move supports working capital needs dating platforms like aisle anbe arike neetho jalebi details powered update,2025-03-17,16:13:52,,NAUKRI,0,0,0,0,402,0.0
"GIRI'S TECH-HUB
@HubGiri
·
Mar 17","Congratulations ... Pranali for a job offer!!..

#jobopportunity #javadeveloper #hiring #recruitment #job #placement #itjobs #hiringnow #naukri #opening #opening #itcourses #computerscience #softwaredeveloper #softwareengineer #javadeveloper #giristechhub #pune",congratulations pranali job offer jobopportunity javadeveloper hiring recruitment job placement itjobs hiringnow naukri opening opening itcourses computerscience softwaredeveloper softwareengineer javadeveloper giristechhub pune,2025-03-17,12:27:44,,"naukri, computerscience, hiring, job, javadeveloper, opening, itcourses, hiringnow, softwareengineer, recruitment, giristechhub, itjobs, pune, jobopportunity, placement, softwaredeveloper",0,0,0,0,77,0.0
"India Filings Digest
@IndiaIncFilings
·
Mar 17","#NAUKRI Investment in Aisle:

On March 17, 2025, Info Edge's subsidiary Jeevansathi agreed to invest Rs. 30 crores in its step down subsidiary Aisle Network Private Limited to support its working capital needs, increasing their stake to 92.83%.",naukri investment aisle march 2025 info edges subsidiary jeevansathi agreed invest crores step subsidiary aisle network private limited support working capital needs increasing stake 9283,2025-03-17,10:00:05,,NAUKRI,0,0,0,0,76,-0.07566137566137567
"Stock Market Window
@window_market
·
Mar 17","Looking good for positional    
Views are for educational purpose 
 #Nifty #banknifty #StockMarket #stockstowatch #optiontrading #optionbuying #trademega #frontpage_app #investing #TradersDiary #StocksToBuy #naukri #StocksInFocus",looking good positional views educational purpose nifty banknifty stockmarket stockstowatch optiontrading optionbuying trademega frontpageapp investing tradersdiary stockstobuy naukri stocksinfocus,2025-03-17,08:24:41,,"naukri, StocksInFocus, StocksToBuy, stockstowatch, StockMarket, banknifty, trademega, TradersDiary, optionbuying, Nifty, optiontrading, frontpage_app, investing",0,0,0,0,1,0.475
"Sarkari Exam Lover
@sarkari_exam99
·
Mar 16","IGNOU Fresh Admission January 2025
#sarkariexam #examlover #job #budgetspeech2025 #ssc #upsc #freejobalert #naukri #sarkariresult #career #offlineforms #starlink",ignou fresh admission january 2025 sarkariexam examlover job budgetspeech2025 ssc upsc freejobalert naukri sarkariresult career offlineforms starlink,2025-03-16,11:48:54,,"naukri, career, ssc, examlover, upsc, offlineforms, job, starlink, budgetspeech2025, sarkariexam, sarkariresult, freejobalert",0,0,0,0,45,0.3
"ABP BIHAR
@abpbihar
·
Mar 16","बिहार में कांग्रेस की 'पलायन रोको, नौकरी दो' यात्रा के जरिए जड़ें मजबूत करने की कवायद, कन्हैया कुमार संभालेंगे कमान 


@NidhiShreeJha
 

#Congress #Palayanroko #Naukri #Kanhaiyakumar",nidhishreejha congress palayanroko naukri kanhaiyakumar,2025-03-16,09:05:37,NidhiShreeJha,"Palayanroko, Naukri, Kanhaiyakumar, Congress",0,0,0,0,1,0.0
"AI Sentiment Detection App for Bharat Stock Market
@Tick_Tracker
·
Mar 16","Daily Bearish
#LICI
#JKTYRE
#SBIN
#TORNTPOWER
#TATAINVEST
#GLAXO
#APOLLOHOSP
#LGBBROSLTD
#ARVINDFASN
#MSUMI
#SHARDACROP
#STARHEALTH
#NH
#SHILPAMED
#UCOBANK
#ADVENZYMES
#UPL
#NAUKRI
#HINDOILEXP
#TANLA

#StocksInFocus #HPORB #StocksToTrade #StocksToWatch #StocksMarket",daily bearish lici jktyre sbin torntpower tatainvest glaxo apollohosp lgbbrosltd arvindfasn msumi shardacrop starhealth shilpamed ucobank advenzymes upl naukri hindoilexp tanla stocksinfocus hporb stockstotrade stockstowatch stocksmarket,2025-03-16,08:56:12,,"HPORB, STARHEALTH, JKTYRE, TANLA, NH, ARVINDFASN, TATAINVEST, SHARDACROP, GLAXO, StocksToTrade, StocksInFocus, ADVENZYMES, TORNTPOWER, StocksMarket, NAUKRI, UCOBANK, SHILPAMED, APOLLOHOSP, StocksToWatch, SBIN, UPL, MSUMI, LICI, HINDOILEXP, LGBBROSLTD",0,0,0,0,726,0.0
"Sarkari Exam Lover
@sarkari_exam99
·
Mar 16","TMB Bank Recruitment 2025
#sarkariexam #examlover #job #budgetspeech2025 #ssc #upsc #freejobalert #naukri #sarkariresult #career #offlineforms #starlink",tmb bank recruitment 2025 sarkariexam examlover job budgetspeech2025 ssc upsc freejobalert naukri sarkariresult career offlineforms starlink,2025-03-16,06:02:42,,"naukri, career, ssc, examlover, upsc, offlineforms, job, starlink, budgetspeech2025, sarkariexam, sarkariresult, freejobalert",0,0,0,0,1,0.0
"Prince Singh
@Princesingh004
·
Mar 16",Congrats on earning your Achiever in Number Theory on Naukri Code 360!  Showcase your hard-earned skills and knowledge with your network by sharing this badge. Keep learning and level up your career! #SkillBadge #Naukri Code 360,congrats earning achiever number theory naukri code 360 showcase hardearned skills knowledge network sharing badge keep learning level career skillbadge naukri code 360,2025-03-15,20:31:08,,"Naukri, SkillBadge",0,0,0,0,1,0.0
"KINNG KABEER 
@KABIR100791
·
Mar 15",#naukri kya na karwa de phir EMI ka tension,naukri kya karwa phir emi tension,2025-03-15,11:08:13,,naukri,0,0,0,0,19,0.0
"Sarkari Exam Lover
@sarkari_exam99
·
Mar 15","BTSC Dentist, Pharmacist, Dresser Recruitment 2025
#sarkariexam #examlover #job #budgetspeech2025 #ssc #upsc #freejobalert #naukri #sarkariresult #career #offlineforms #starlink",btsc dentist pharmacist dresser recruitment 2025 sarkariexam examlover job budgetspeech2025 ssc upsc freejobalert naukri sarkariresult career offlineforms starlink,2025-03-15,10:50:59,,"naukri, career, ssc, examlover, upsc, offlineforms, job, starlink, budgetspeech2025, sarkariexam, sarkariresult, freejobalert",0,0,0,0,1,0.0
"Prince Singh
@Princesingh004
·
Mar 15",Congrats on earning your Master in Strings on Naukri Code 360!  Showcase your hard-earned skills and knowledge with your network by sharing this badge. Keep learning and level up your career! #SkillBadge #Naukri Code 360,congrats earning master strings naukri code 360 showcase hardearned skills knowledge network sharing badge keep learning level career skillbadge naukri code 360,2025-03-14,18:36:36,,"Naukri, SkillBadge",0,0,0,0,1,0.0
"ZEE २४ तास
@zee24taasnews
·
Mar 14","किमान  ₹4 Lakh Per Month Salary देणारा देश! अमेरिका, ब्रिटन नाही तर 'इथं' मिळतो जगातील सर्वाधिक पगार
https://zeenews.india.com/marathi/web-stories/world/which-countries-have-the-best-salary-opportunities/892980… < येथे वाचा सविस्तर...
म्हणजेच या देशात वर्षाला 51 लाख रुपये पगार दिला जातो...
#Salary #Job #Naukri #JoburgUpdates",lakh per month salary salary job naukri joburgupdates,2025-03-14,10:21:42,,"Naukri, Job, Salary, JoburgUpdates",0,0,0,0,316,0.0
"Harish Kumar Soni
@DishaSharm97576
·
Mar 14","Hi,
We are hiring 4 to 6 years experienced Java Developers. This is work from home job. Interested resources can send resume at recruiter1@lightuptechnologies.com
#tcser #Infosys #wipro #hcl #India #interview #TechMentorship #Job #naukri",hiring years experienced java developers work home job interested resources send resume recruiter1 lightuptechnologiescom tcser infosys wipro hcl india interview techmentorship job naukri,2025-03-14,06:06:34,lightuptechnologies,"naukri, Infosys, Job, tcser, hcl, TechMentorship, interview, India, wipro",0,0,0,0,81,0.525
"Berozgar_407
@Berozgar_407
·
Mar 14","सरकारी नौकरी verses प्राइवेट नौकरी कौन सी best है   
 #SarkariNaukari #privatenaukri #naukri #job #MARK",verses best sarkarinaukari privatenaukri naukri job mark,2025-03-14,03:57:21,,"naukri, MARK, privatenaukri, job, SarkariNaukari",0,0,0,0,46,1.0
"Scholar Job Updates
@scholar_job
·
Mar 13","Manipur University Recruitment 2025 
https://youtube.com/shorts/jMkSP9OLV1M?si=TKWSr7ixyLfDtVaJ…
#manipuruniversityrecruitment2025-#naukri-#job-#collegeuniversityjobvacancies-#manipur-#financeofficer-#Manipurviralvideo-  #manipurjobvacancy2025-#imphal- #imphalnews-#govtjobs- #latestgovtjobs-#librarian-#registrar",manipur university recruitment 2025 manipuruniversityrecruitment2025 naukri job collegeuniversityjobvacancies manipur financeofficer manipurviralvideo manipurjobvacancy2025 imphal imphalnews govtjobs latestgovtjobs librarian registrar,2025-03-13,15:29:48,,"naukri, collegeuniversityjobvacancies, govtjobs, registrar, job, imphal, manipuruniversityrecruitment2025, manipur, imphalnews, financeofficer, Manipurviralvideo, manipurjobvacancy2025, latestgovtjobs, librarian",0,0,0,0,1,0.0
"Sarkari Exam Lover
@sarkari_exam99
·
Mar 13","Faridabad THSTI Recruitment 2025
#sarkariexam #examlover #job #budgetspeech2025 #ssc #upsc #freejobalert #naukri #sarkariresult #career #offlineforms #starlink",faridabad thsti recruitment 2025 sarkariexam examlover job budgetspeech2025 ssc upsc freejobalert naukri sarkariresult career offlineforms starlink,2025-03-13,11:47:38,,"naukri, career, ssc, examlover, upsc, offlineforms, job, starlink, budgetspeech2025, sarkariexam, sarkariresult, freejobalert",0,0,0,0,44,0.0
"Sarkari Exam Lover
@sarkari_exam99
·
Mar 13","CGPSC Assistant Director Industry Recruitment 2025
#sarkariexam #examlover #job #budgetspeech2025 #ssc #upsc #freejobalert #naukri #sarkariresult #career #offlineforms #starlink",cgpsc assistant director industry recruitment 2025 sarkariexam examlover job budgetspeech2025 ssc upsc freejobalert naukri sarkariresult career offlineforms starlink,2025-03-13,08:46:18,,"naukri, career, ssc, examlover, upsc, offlineforms, job, starlink, budgetspeech2025, sarkariexam, sarkariresult, freejobalert",0,0,0,0,1,0.0
"Himanshu Mishra 
@himanshulive07
·
Mar 13","#hiring #jobs #jobnews #hiringnews #naukri 

𝐉𝐨𝐢𝐧 𝐏𝐡𝐲𝐬𝐢𝐜𝐬𝐰𝐚𝐥𝐥𝐚𝐡 𝐚𝐬 𝐚 𝐁𝐫𝐚𝐧𝐜𝐡 𝐌𝐚𝐧𝐚𝐠𝐞𝐫 𝐟𝐨𝐫 𝐆𝐨𝐯𝐞𝐫𝐧𝐦𝐞𝐧𝐭 𝐄𝐱𝐚𝐦 𝐂𝐞𝐧𝐭𝐞𝐫𝐬! 

PhysicsWallah, India’s leading ed-tech platform, is expanding its footprint in offline education! We’re",hiring jobs jobnews hiringnews naukri physicswallah indias leading edtech platform expanding footprint offline education,2025-03-13,08:06:33,,"naukri, jobs, hiring, hiringnews, jobnews",0,0,0,0,2,0.0
"जाफ़र नक़वी प्रदेश संगठन मंत्री अल्पसंख्यक प्रकोष्ठ
@naqvijafarhasan
·
Mar 12",#naukri  #shianeali #LeadershipDevelopment,naukri shianeali leadershipdevelopment,2025-03-12,09:35:30,,"naukri, LeadershipDevelopment, shianeali",0,0,0,0,1,0.0
"Sarkari Exam Lover
@sarkari_exam99
·
Mar 12","Indian Army Havildar Recruitment 2025
#sarkariexam #examlover #jobs #haryanajobs #ssc #upsc #freejobalert #naukri #sarkariresult #sarkariexam #offlineforms",indian army havildar recruitment 2025 sarkariexam examlover jobs haryanajobs ssc upsc freejobalert naukri sarkariresult sarkariexam offlineforms,2025-03-12,09:20:44,,"naukri, ssc, examlover, haryanajobs, jobs, upsc, offlineforms, sarkariexam, sarkariresult, freejobalert",0,0,0,0,1,0.0
"HADC INDICATOR
@beingakash26_
·
Mar 12","#NAUKRI #INFOEDGE BOOM BOOM

SHORTED AT 6654.10
LOW MADE SO FAR 6349
LOT SIZE 75

#HADC #INDICATOR

#nifty50 #banknifty #mcx #trading #OptionsTrading",naukri infoedge boom boom shorted 665410 low made far 6349 lot size hadc indicator nifty50 banknifty mcx trading optionstrading,2025-03-12,09:07:50,,"nifty50, INFOEDGE, NAUKRI, trading, banknifty, INDICATOR, mcx, HADC, OptionsTrading",0,0,0,0,1,0.05
